,Industry,Quarter,Cumulative time,Loop time
0,1010, 2018 q1,54.504864,54.504864
1,1010, 2018 q2,4837.747945,4783.2430810000005
2,1010, 2018 q3,4893.07081,55.32286500000009
3,1010, 2018 q4,6095.698504,1202.6276939999998
4,1010, 2019 q1,6158.548299,62.849795000000086
5,1010, 2019 q2,6790.666359,632.1180599999998
6,1010, 2019 q3,6846.149078,55.48271900000054
7,1010, 2019 q4,6905.767682,59.61860399999932
8,1010, 2020 q1,7566.692182,660.9245000000001
9,1010, 2020 q2,7614.421897,47.7297150000004
10,1510, 2018 q1,7653.697664,39.27576700000009
11,1510, 2018 q2,7690.750494,37.05282999999963
12,1510, 2018 q3,7727.895668,37.145174000000225
13,1510, 2018 q4,7768.354507,40.4588389999999
14,1510, 2019 q1,7810.095186,41.740678999999545
15,1510, 2019 q2,7853.753432,43.65824600000087
16,1510, 2019 q3,7895.727912,41.97447999999986
17,1510, 2019 q4,7940.22424,44.49632799999927
18,1510, 2020 q1,7982.961329,42.737089000000196
19,1510, 2020 q2,8026.98273,44.02140099999997
20,2010, 2018 q1,8085.774238,58.79150800000025
21,2010, 2018 q2,8147.320001,61.54576300000008
22,2010, 2018 q3,8210.60849,63.28848900000048
23,2010, 2018 q4,8277.519741,66.91125099999954
24,2010, 2019 q1,8341.792179,64.27243799999997
25,2010, 2019 q2,12897.029845,4555.237665999999
26,2010, 2019 q3,12959.192015,62.162170000001424
27,2010, 2019 q4,13030.006765,70.81474999999955
28,2010, 2020 q1,13094.677043,64.6702779999996
29,2010, 2020 q2,13148.130447,53.453403999999864
30,2020, 2018 q1,13179.155511,31.025064000001294
31,2020, 2018 q2,13209.066613,29.911102000000028
32,2020, 2018 q3,13239.400456,30.333842999998524
33,2020, 2018 q4,13269.874108,30.473652000000584
34,2020, 2019 q1,13301.33168,31.457571999999345
35,2020, 2019 q2,13332.14235,30.810670000000755
36,2020, 2019 q3,13362.726699,30.584349000000657
37,2020, 2019 q4,13393.727669,31.000969999999143
38,2020, 2020 q1,13426.188683,32.46101400000043
39,2020, 2020 q2,13456.809258,30.620574999999008
40,2030, 2018 q1,13490.210657,33.40139900000031
41,2030, 2018 q2,13524.572462,34.36180500000046
42,2030, 2018 q3,13558.238732,33.66626999999971
43,2030, 2018 q4,13594.049363,35.810631000000285
